,sales_rate_comparison,avg_rate_compt,weekday_sazonality_guh,occup_competitors,imat_sp,event_sazonality_guh
2023-02-21,-83.33%,367.42,3,0.5661999999999999,0.9440000000000001,0
2023-02-22,-90.91%,375.84,3,0.5661999999999999,0.9440000000000001,0
2023-02-23,-91.49%,389.71,4,0.5661999999999999,0.9440000000000001,0
2023-02-24,-93.33%,386.99,5,0.5661999999999999,0.9440000000000001,0
2023-02-25,-86.44%,380.41,5,0.5661999999999999,0.9440000000000001,0
2023-02-26,-86.59%,416.96,1,0.5661999999999999,0.9440000000000001,0
2023-02-27,-82.07%,440.48,2,0.5661999999999999,0.9440000000000001,0
2023-02-28,-83.07%,447.73,3,0.5661999999999999,0.9440000000000001,1
2023-03-01,-68.83%,356.89,3,0.7719,1.0959999999999999,0
2023-03-02,-80.00%,434.24,4,0.7719,1.0959999999999999,0
2023-03-03,-69.70%,511.31,5,0.7719,1.0959999999999999,0
2023-03-04,-53.62%,508.34,5,0.7719,1.0959999999999999,0
2023-03-05,-64.64%,472.65,1,0.7719,1.0959999999999999,0
2023-03-06,-74.90%,484.39,2,0.7719,1.0959999999999999,0
2023-03-07,-89.97%,458.04,3,0.7719,1.0959999999999999,1
2023-03-08,-89.61%,404.52,3,0.7719,1.0959999999999999,0
2023-03-09,-92.59%,437.53,4,0.7719,1.0959999999999999,0
2023-03-10,-84.00%,443.64,5,0.7719,1.0959999999999999,3
2023-03-11,-67.68%,455.09,5,0.7719,1.0959999999999999,3
2023-03-12,-63.36%,420.80,1,0.7719,1.0959999999999999,1
2023-03-13,-89.68%,408.51,2,0.7719,1.0959999999999999,3
2023-03-14,-77.14%,399.27,3,0.7719,1.0959999999999999,3
2023-03-15,-91.30%,371.56,3,0.7719,1.0959999999999999,1
2023-03-16,-67.48%,366.82,4,0.7719,1.0959999999999999,1
2023-03-17,-86.89%,389.93,5,0.7719,1.0959999999999999,3
2023-03-18,-83.51%,370.06,5,0.7719,1.0959999999999999,3
2023-03-19,-81.61%,368.09,1,0.7719,1.0959999999999999,1
